bus,fueltype,c2,c1,c0,pmax,ess,canidate,gen_id
3,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,197
34,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,198
482,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,199
373,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,200
487,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,201
86,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,202
406,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,203
2,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,204
489,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,205
9,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,206
109,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,207
401,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,208
36,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,209
16,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,210
362,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,211
381,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,212
77,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,213
359,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,214
481,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,215
446,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,216
449,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,217
458,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,218
87,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,219
68,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,220
91,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,221
414,Solar Photovoltaic,0.0,0.0,0.0,0.0,0,1,222
361,Batteries,0.06757,16.371712,401.19412,0.0,1,1,223
59,Batteries,0.06757,16.371712,401.19412,0.0,1,1,224
71,Batteries,0.06757,16.371712,401.19412,0.0,1,1,225
467,Batteries,0.06757,16.371712,401.19412,0.0,1,1,226
39,Batteries,0.06757,16.371712,401.19412,0.0,1,1,227
14,Batteries,0.06757,16.371712,401.19412,0.0,1,1,228
407,Batteries,0.06757,16.371712,401.19412,0.0,1,1,229
33,Batteries,0.06757,16.371712,401.19412,0.0,1,1,230
10,Batteries,0.06757,16.371712,401.19412,0.0,1,1,231
111,Batteries,0.06757,16.371712,401.19412,0.0,1,1,232
82,Batteries,0.06757,16.371712,401.19412,0.0,1,1,233
476,Batteries,0.06757,16.371712,401.19412,0.0,1,1,234
416,Batteries,0.06757,16.371712,401.19412,0.0,1,1,235
37,Batteries,0.06757,16.371712,401.19412,0.0,1,1,236
426,Batteries,0.06757,16.371712,401.19412,0.0,1,1,237
447,Batteries,0.06757,16.371712,401.19412,0.0,1,1,238
29,Batteries,0.06757,16.371712,401.19412,0.0,1,1,239
90,Batteries,0.06757,16.371712,401.19412,0.0,1,1,240
4,Batteries,0.06757,16.371712,401.19412,0.0,1,1,241
41,Batteries,0.06757,16.371712,401.19412,0.0,1,1,242
62,Batteries,0.06757,16.371712,401.19412,0.0,1,1,243
477,Batteries,0.06757,16.371712,401.19412,0.0,1,1,244
63,Batteries,0.06757,16.371712,401.19412,0.0,1,1,245
6,Batteries,0.06757,16.371712,401.19412,0.0,1,1,246
61,Batteries,0.06757,16.371712,401.19412,0.0,1,1,247
379,Batteries,0.06757,16.371712,401.19412,0.0,1,1,248
354,Batteries,0.06757,16.371712,401.19412,0.0,1,1,249
30,Batteries,0.06757,16.371712,401.19412,0.0,1,1,250
88,Batteries,0.06757,16.371712,401.19412,0.0,1,1,251
11,Batteries,0.06757,16.371712,401.19412,0.0,1,1,252
26,Batteries,0.06757,16.371712,401.19412,0.0,1,1,253
484,Batteries,0.06757,16.371712,401.19412,0.0,1,1,254
73,Batteries,0.06757,16.371712,401.19412,0.0,1,1,255
28,Batteries,0.06757,16.371712,401.19412,0.0,1,1,256
392,Batteries,0.06757,16.371712,401.19412,0.0,1,1,257
455,Batteries,0.06757,16.371712,401.19412,0.0,1,1,258
40,Batteries,0.06757,16.371712,401.19412,0.0,1,1,259
69,Batteries,0.06757,16.371712,401.19412,0.0,1,1,260
75,Batteries,0.06757,16.371712,401.19412,0.0,1,1,261
38,Batteries,0.06757,16.371712,401.19412,0.0,1,1,262
67,Batteries,0.06757,16.371712,401.19412,0.0,1,1,263
65,Batteries,0.06757,16.371712,401.19412,0.0,1,1,264
352,Batteries,0.06757,16.371712,401.19412,0.0,1,1,265
84,Batteries,0.06757,16.371712,401.19412,0.0,1,1,266
8,Batteries,0.06757,16.371712,401.19412,0.0,1,1,267
5,Batteries,0.06757,16.371712,401.19412,0.0,1,1,268
105,Batteries,0.06757,16.371712,401.19412,0.0,1,1,269
64,Batteries,0.06757,16.371712,401.19412,0.0,1,1,270
374,Batteries,0.06757,16.371712,401.19412,0.0,1,1,271
42,Batteries,0.06757,16.371712,401.19412,0.0,1,1,272
465,Batteries,0.06757,16.371712,401.19412,0.0,1,1,273
99,Batteries,0.06757,16.371712,401.19412,0.0,1,1,274
32,Batteries,0.06757,16.371712,401.19412,0.0,1,1,275
405,Batteries,0.06757,16.371712,401.19412,0.0,1,1,276
